GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
DISP1,0.000340297,0.0000268,6.777839028,2.718578001,1.736562912,1.736562912
LMX1A,0.000348704,0.0000279,6.748011592,2.676610972,1.328356452,1.328356452
CCL20,0.000356368,0.0000289,6.722513274,2.640638186,1.26310507,1.26310507
SYT15,0.000375244,0.0000314,6.663597247,2.557177741,1.902531025,1.902531025
TNXB,0.000379217,0.0000319,6.651875193,2.540515156,1.119325499,1.119325499
GPRIN1,0.000381408,0.0000323,6.642394262,2.527024371,1.24517901,1.24517901
SLC29A2,0.00038282,0.0000325,6.637706156,2.520348889,1.567035424,1.567035424
PPP1R14A,0.000392067,0.0000338,6.609000163,2.479407513,1.137517605,1.137517605
VENTXP7,0.000394641,0.0000342,6.601567609,2.468788358,1.164482714,1.164482714
SARS,0.000397591,0.0000345,6.594231489,2.458299466,1.186650799,1.186650799
APCDD1,0.000407341,0.0000359,-6.565391399,2.416992595,-1.057715908,1.057715908
C2orf16,0.000408447,0.0000362,6.560571402,2.410077768,1.125685538,1.125685538
CCL3L3,0.000419121,0.0000376,6.532319145,2.36948169,1.163778281,1.163778281
APH1A,0.000427302,0.0000387,6.511670228,2.339740588,1.974054509,1.974054509
C17orf53,0.00042794,0.0000389,6.507143822,2.333213152,1.488093036,1.488093036
TMPRSS11B,0.00042772,0.0000389,-6.50789067,2.334290364,-1.000480668,1.000480668
LOC100505695,0.000431497,0.0000395,-6.497076147,2.318684508,-1.098810961,1.098810961
OLFML2A,0.000431478,0.0000395,6.497336583,2.319060521,1.092497076,1.092497076
COL4A4,0.000431552,0.0000395,6.496526739,2.317891252,1.000080739,1.000080739
PRKACB,0.00043288,0.0000398,6.491894149,2.311200856,1.455504542,1.455504542
TEKT1,0.000437624,0.0000405,-6.479928012,2.293905455,-1.114898042,1.114898042
HEPH,0.000439033,0.0000407,6.47650339,2.288951949,1.525314988,1.525314988
ADARB1,0.000440422,0.0000408,6.473113236,2.284046685,1.182066888,1.182066888
NAALADL2,0.00044679,0.0000419,6.455264462,2.258194491,1.510659004,1.510659004
MAML3,0.00045365,0.0000429,6.438236375,2.233489383,1.355157453,1.355157453
C9orf116,0.000455952,0.0000433,-6.43215264,2.224652972,-1.164858812,1.164858812
TCF23,0.000456527,0.0000434,6.429789163,2.221218704,1.030450006,1.030450006
C21orf128,0.000463439,0.0000448,-6.407918372,2.189401996,-1.146280362,1.146280362
