,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
TMEM173,502.5032833,0.320293509,0.320293509,0.106196646,3.016041664,0.002560981,0.010516367
ITGA5,557.0776206,0.312238639,0.312238639,0.092036028,3.392569674,0.000692403,0.003579477
CCND3,528.3281695,0.308654892,0.308654892,0.125761204,2.454293383,0.014116176,0.043707304
SMAD5,131.7181225,0.301990705,0.301990705,0.123218148,2.450862239,0.014251448,0.043891429
IFNAR2,1086.657332,0.262141647,0.262141647,0.0833723,3.14422953,0.001665248,0.007474251
NOTCH2,1086.657332,0.262141647,0.262141647,0.0833723,3.14422953,0.001665248,0.007474251
ITGB1,2040.656438,0.241064874,0.241064874,0.092012012,2.619928287,0.008794826,0.029434706
BCL10,530.1626223,0.212206007,0.212206007,0.077350759,2.743425013,0.006080193,0.022141081
PTAFR,461.0294356,-0.481789087,0.481789087,0.209788855,5.472974706,0.019312727,0.053959176
CD83,71.36349013,-0.351153634,0.351153634,0.153200815,5.351937817,0.020699253,0.057543924
ABCB1,127.6615249,0.232020895,0.232020895,0.100004273,5.333996163,0.020913381,0.057849949
SPP1,10.44558224,-0.453843388,0.453843388,0.197923177,5.229086215,0.022212199,0.061138528
GPI,287.6662245,0.372930598,0.372930598,0.163476971,2.281242407,0.022534107,0.064272156
FAS,38.83088827,0.355136101,0.355136101,0.156318843,5.125720612,0.02357378,0.064566611
CXCL10,52.35862067,1.265212716,1.265212716,0.555525695,2.277505304,0.022756068,0.064587076
CCL5,2880.12341,0.457952895,0.457952895,0.201455833,2.273217353,0.023013085,0.064910845
BAX,517.8249357,0.16302389,0.16302389,0.072218292,2.257376705,0.023984546,0.06612882
BCAP31,517.8249357,0.16302389,0.16302389,0.072218292,2.257376705,0.023984546,0.06612882
CR1,1283.504093,0.583984988,0.583984988,0.25865373,2.257786842,0.023958952,0.06612882
PSMB7,517.8249357,0.16302389,0.16302389,0.072218292,2.257376705,0.023984546,0.06612882
FOXP3,15.44126459,0.402471585,0.402471585,0.180387769,5.040600225,0.02475991,0.066185143
CXCL1,111.3933841,0.448042843,0.448042843,0.199700711,2.243571593,0.024859979,0.067895885
PRF1,3345.187228,0.448121287,0.448121287,0.199677336,2.244227092,0.024817794,0.067895885
TNFSF10,1547.49496,0.604921835,0.604921835,0.270241693,2.238447473,0.025191889,0.068479361
ICAM3,1916.068388,-0.392769991,0.392769991,0.178911753,4.972448229,0.025754168,0.068513482
IRAK4,266.9075046,0.227575135,0.227575135,0.102186712,2.22705214,0.025943789,0.069867228
IRF8,163.0606761,-0.344952394,0.344952394,0.157489278,4.915140855,0.026622292,0.070151633
CD9,159.6033294,-0.548367361,0.548367361,0.2526972,4.90345552,0.026803011,0.070294688
IL21R,63.77051369,0.230764759,0.230764759,0.104944972,4.859051402,0.027501453,0.071120037
AIRE,9.261255122,-0.43539711,0.43539711,0.198636541,-2.191928571,0.028384665,0.073891994
CD6,314.6992188,0.370284823,0.370284823,0.168915088,2.192135873,0.028369697,0.073891994
CD81,1069.066633,0.228950878,0.228950878,0.104556698,2.189729413,0.028543867,0.073891994
NLRP3,93.64865211,0.377703549,0.377703549,0.172013145,2.19578306,0.028107475,0.073891994
TLR1,1262.178398,0.376444842,0.376444842,0.171755988,2.191742169,0.028398129,0.073891994
VTN,8.528928356,-0.444493641,0.444493641,0.203045148,-2.189136981,0.028586885,0.073891994
IL4R,486.3073987,-0.553123259,0.553123259,0.263266833,4.605650404,0.031866763,0.078746313
